iter	RMSE
0	59.78423205
1	57.05612764
2	54.46447074
3	52.0107328
4	49.63570007
5	47.38061043
6	45.23624616
7	43.18404704
8	41.25237832
9	39.42401946
10	37.69964671
11	36.07892276
12	34.50305478
13	33.01839006
14	31.6234744
15	30.2826627
16	29.00832975
17	27.81655153
18	26.67876062
19	25.59470395
20	24.57264825
21	23.60869555
22	22.70419111
23	21.8427593
24	21.02166686
25	20.26528367
26	19.54586398
27	18.86734103
28	18.22991161
29	17.63292271
30	17.06784391
31	16.54216225
32	16.04206449
33	15.57521612
34	15.13904872
35	14.72988079
36	14.34880072
37	13.99378093
38	13.66001749
39	13.34958955
40	13.06305722
41	12.79291373
42	12.54245888
43	12.31250246
44	12.10136585
45	11.90293971
46	11.72070738
47	11.5499337
48	11.38610728
49	11.24262579
50	11.10714956
51	10.98317545
52	10.86917659
53	10.76526863
54	10.66665148
55	10.57483158
56	10.49376862
57	10.41668123
58	10.34622667
59	10.28023474
60	10.22019033
61	10.16015041
62	10.10931653
63	10.06290826
64	10.0197545
65	9.97979164
66	9.938724967
67	9.901499943
68	9.870237159
69	9.842404604
70	9.811585741
71	9.786620982
72	9.764100705
73	9.743192989
74	9.723112647
75	9.700149122
76	9.683039881
77	9.66804194
78	9.64959242
79	9.628423422
80	9.606617915
81	9.588402292
82	9.562954382
83	9.534663077
84	9.524898965
85	9.509964429
86	9.496189392
87	9.484208174
88	9.470730847
89	9.459046611
90	9.450011262
91	9.441493161
92	9.434144638
93	9.41883999
94	9.409545381
95	9.388698695
96	9.377961849
97	9.365775104
98	9.360274184
99	9.352444196
100	9.346169901
101	9.340193044
102	9.332792653
103	9.314400314
104	9.307189136
105	9.301457965
106	9.294022088
107	9.280968157
108	9.2737803
109	9.258595145
110	9.251064121
111	9.243741472
112	9.231851805
113	9.229242345
114	9.209386924
115	9.194070387
116	9.177449674
117	9.174349697
118	9.171785083
119	9.167185053
120	9.164783865
121	9.145651037
122	9.131322706
123	9.128100649
124	9.122893026
125	9.114008728
126	9.110355622
127	9.100939617
128	9.091957226
129	9.086640315
130	9.07591675
131	9.061822833
132	9.052545047
133	9.048976717
134	9.043172053
135	9.02787662
136	9.018627267
137	9.014531823
138	9.007811753
139	9.003065972
140	8.993332921
141	8.988655379
142	8.984234518
143	8.980526777
144	8.975410764
145	8.973919819
146	8.96877461
147	8.963141418
148	8.955925737
149	8.946951217
150	8.932840696
151	8.924982305
152	8.91319361
153	8.907216665
154	8.899720485
155	8.898018519
156	8.895199625
157	8.890915039
158	8.88951717
159	8.888223453
160	8.881518236
161	8.872478219
162	8.859055762
163	8.849467277
164	8.841827639
165	8.839784128
166	8.832839536
167	8.817963399
168	8.815925781
169	8.808408926
170	8.803721118
171	8.798359424
172	8.789683797
173	8.782052076
174	8.772539315
175	8.768166946
176	8.762606081
177	8.758241817
178	8.753875394
179	8.746345904
180	8.742104769
181	8.735557142
182	8.727902431
183	8.723013085
184	8.720613899
185	8.71305321
186	8.70837817
187	8.703362032
188	8.700442726
189	8.695823748
190	8.691441066
191	8.687062727
192	8.677909411
193	8.674773093
194	8.667019374
195	8.661492859
196	8.657915785
197	8.657883465
198	8.655265547
199	8.65158865
200	8.651082573
201	8.647333952
202	8.640960658
203	8.636601439
204	8.635397437
205	8.63130827
206	8.625497488
207	8.621484028
208	8.618705738
209	8.614164671
210	8.608542766
211	8.60516373
212	8.600466623
213	8.595419247
214	8.591907102
215	8.58801861
216	8.583479863
217	8.576411258
218	8.568038031
219	8.568015812
220	8.563494545
221	8.560045038
222	8.554167388
223	8.552042975
224	8.544688279
225	8.541794785
226	8.538488684
227	8.538184339
228	8.531310226
229	8.524816483
230	8.523833028
231	8.516055955
232	8.513146464
233	8.511009447
234	8.508223223
235	8.506465738
236	8.502020075
237	8.498795353
238	8.491932758
239	8.489403555
240	8.487283099
241	8.485538409
242	8.479593215
243	8.476615782
244	8.472811385
245	8.469287465
246	8.463310297
247	8.460281782
248	8.458589052
249	8.453117849
250	8.450169585
251	8.445721863
252	8.443231124
253	8.438880493
254	8.436505919
255	8.434551465
256	8.432764205
257	8.427175121
258	8.422440103
259	8.421254721
260	8.420563234
261	8.417135704
262	8.415412559
263	8.410035764
264	8.405422603
265	8.400178172
266	8.395646225
267	8.393152676
268	8.388319615
269	8.384456845
270	8.383041782
271	8.379407641
272	8.377751609
273	8.372994654
274	8.367604875
275	8.363779041
276	8.362876866
277	8.360868731
278	8.357928152
279	8.355643492
280	8.351266465
281	8.350778147
282	8.346645817
283	8.344869992
284	8.342797603
285	8.337759348
286	8.336351709
287	8.335111144
288	8.333847757
289	8.331684367
290	8.329686587
291	8.328813417
292	8.325805851
293	8.322815996
294	8.319799292
295	8.318277255
296	8.315745452
297	8.313839579
298	8.311978293
299	8.310817538
300	8.310305392
301	8.308446171
302	8.304547063
303	8.303318926
304	8.298011914
305	8.297624489
306	8.294674808
307	8.293208683
308	8.291971657
309	8.289844017
310	8.289435769
311	8.288071322
312	8.285288796
313	8.282831113
314	8.281817335
315	8.281489964
316	8.27853523
317	8.275742091
318	8.274634941
319	8.273198195
320	8.272416999
321	8.270495122
322	8.265928486
323	8.261896475
324	8.259813261
325	8.256260558
326	8.254376003
327	8.253951305
328	8.253088676
329	8.252689665
330	8.249137087
331	8.246175065
332	8.244955512
333	8.241323479
334	8.239921972
335	8.237788886
336	8.233826833
337	8.231597313
338	8.228398041
339	8.224443611
340	8.223958256
341	8.222789651
342	8.219597409
343	8.216625912
344	8.214838472
345	8.212189557
346	8.211370983
347	8.209917883
348	8.206800119
349	8.203863702
350	8.201741074
351	8.199715302
352	8.198653927
353	8.193787431
354	8.191761582
355	8.189708172
356	8.186137091
357	8.185124192
358	8.184249999
359	8.18086627
360	8.178368895
361	8.176805666
362	8.172326065
363	8.169352977
364	8.167188481
365	8.164977157
366	8.162714048
367	8.161772576
368	8.159685338
369	8.159301334
370	8.15690285
371	8.152813186
372	8.15086451
373	8.14760296
374	8.146649098
375	8.145980134
376	8.145204089
377	8.143914127
378	8.14095762
379	8.139845149
380	8.137276423
381	8.135646006
382	8.134187539
383	8.133141985
384	8.13278533
385	8.131431643
386	8.128096504
387	8.126099506
388	8.124065926
389	8.123591837
390	8.122077644
391	8.120578155
392	8.11883015
393	8.116068759
394	8.113997791
395	8.113179672
396	8.112996992
397	8.112079285
398	8.11114558
399	8.110904581
400	8.10903408
401	8.107070625
402	8.105057779
403	8.102829578
404	8.102334206
405	8.10187447
406	8.099199616
407	8.09724663
408	8.095018762
409	8.093447277
410	8.091555225
411	8.089741824
412	8.088981983
413	8.08856285
414	8.088155202
415	8.087365442
416	8.085672763
417	8.0831757
418	8.082467475
419	8.082078073
420	8.081379495
421	8.080640391
422	8.080180441
423	8.07799451
424	8.077174614
425	8.075430267
426	8.074679654
427	8.072472238
428	8.071548574
429	8.067478041
430	8.064609553
431	8.062627135
432	8.060961018
433	8.057897791
434	8.05612707
435	8.055452873
436	8.051558415
437	8.050784619
438	8.049515176
439	8.048811867
440	8.047893789
441	8.046039292
442	8.044003083
443	8.043388029
444	8.042974225
445	8.041166901
446	8.040824144
447	8.039820212
448	8.036612567
449	8.034824434
450	8.034188434
451	8.032491783
452	8.031641766
453	8.029288346
454	8.02735359
455	8.026243221
456	8.024419177
457	8.023472167
458	8.021094563
459	8.019413433
460	8.01847535
461	8.016342794
462	8.015183327
463	8.014091056
464	8.013232696
465	8.012348551
466	8.011288599
467	8.011222037
468	8.009664156
469	8.007559385
470	8.005483819
471	8.004038543
472	8.00370519
473	8.002837685
474	8.000999939
475	7.999585896
476	7.998361465
477	7.998157521
478	7.997158633
479	7.995604205
480	7.993452993
481	7.991974294
482	7.989942113
483	7.987880803
484	7.987560852
485	7.985517194
486	7.983713718
487	7.982098118
488	7.981271752
489	7.977588052
490	7.975044119
491	7.973560029
492	7.972976202
493	7.971891509
494	7.970496185
495	7.96997282
496	7.969196084
497	7.96827139
498	7.96607841
499	7.962728767
500	7.961293455
501	7.959762265
502	7.958467346
503	7.957098853
504	7.95577317
505	7.954952195
506	7.953805913
507	7.951438815
508	7.950597922
509	7.948467765
510	7.947341806
511	7.946057617
512	7.944156166
513	7.942501836
514	7.939868515
515	7.938315832
516	7.93784521
517	7.936367661
518	7.935201796
519	7.934684
520	7.933689276
521	7.933000191
522	7.932957683
523	7.932463245
524	7.930049468
525	7.92872471
526	7.927631622
527	7.926255124
528	7.926214094
529	7.926175058
530	7.925141893
531	7.923406164
532	7.922943496
533	7.922457509
534	7.921483251
535	7.920458789
536	7.91849427
537	7.917822018
538	7.917576537
539	7.916787514
540	7.915878943
541	7.914831917
542	7.912783762
543	7.911883245
544	7.91031797
545	7.908716886
546	7.907190062
547	7.905939343
548	7.904950282
549	7.904428829
550	7.903798351
551	7.901399456
552	7.898949512
553	7.897701906
554	7.896914742
555	7.896877067
556	7.895758143
557	7.895087147
558	7.893674224
559	7.891404534
560	7.89081697
561	7.889091285
562	7.887422972
563	7.88640416
564	7.88599791
565	7.88414053
566	7.881142152
567	7.880036618
568	7.878134939
569	7.876129123
570	7.875099739
571	7.874580596
572	7.874463026
573	7.874093494
574	7.87257445
575	7.870637599
576	7.86876214
577	7.867721226
578	7.866974337
579	7.864523109
580	7.86415018
581	7.862850147
582	7.861925569
583	7.859860276
584	7.859303612
585	7.857464714
586	7.856629898
587	7.855830713
588	7.854786617
589	7.854229498
590	7.853904378
591	7.853408541
592	7.852648319
593	7.851394281
594	7.851287974
595	7.850946937
596	7.850621025
597	7.849622768
598	7.847643013
599	7.847607478
600	7.847468784
601	7.84552961
602	7.844542888
603	7.843706545
604	7.843671974
605	7.843371221
606	7.841701807
607	7.840644801
608	7.839820931
609	7.838590164
610	7.836412029
611	7.836124032
612	7.835258312
613	7.833596845
614	7.832956972
615	7.831398048
616	7.830459285
617	7.830426561
618	7.830154062
619	7.829893001
620	7.829861358
621	7.829592234
622	7.827324448
623	7.827270317
624	7.826531948
625	7.826502379
626	7.825752309
627	7.824507082
628	7.822954127
629	7.822410786
630	7.820713118
631	7.819674746
632	7.81894161
633	7.817034807
634	7.81635786
635	7.815212001
636	7.812931239
637	7.811831783
638	7.810236534
639	7.809506946
640	7.808927602
641	7.807984568
642	7.806429661
643	7.805361461
644	7.80492911
645	7.803409832
646	7.801284557
647	7.800132355
648	7.799219422
649	7.798152919
650	7.796977403
651	7.796949524
652	7.796022732
653	7.79535285
654	7.79458476
655	7.792921241
656	7.790319365
657	7.789513355
658	7.788888359
659	7.788015714
660	7.786058139
661	7.785565649
662	7.783570909
663	7.782967162
664	7.780817923
665	7.779962382
666	7.779583531
667	7.777963863
668	7.776059758
669	7.775505859
670	7.773521349
671	7.772144738
672	7.771099305
673	7.770414682
674	7.770368486
675	7.769550888
676	7.768674026
677	7.767387695
678	7.767238314
679	7.765619558
680	7.764673589
681	7.764085741
682	7.762524935
683	7.761616008
684	7.761197829
685	7.759164746
686	7.756884467
687	7.756439046
688	7.755217735
689	7.754917464
690	7.753184555
691	7.751809115
692	7.749385887
693	7.748899708
694	7.747576461
695	7.746960782
696	7.74493007
697	7.74338796
698	7.742704759
699	7.741282777
700	7.741203843
701	7.739898166
702	7.739106459
703	7.737487075
704	7.735774835
705	7.734679599
706	7.732771474
707	7.732404513
708	7.731386586
709	7.729687291
710	7.729135421
711	7.727398116
712	7.726458924
713	7.725550214
714	7.723959051
715	7.723033093
716	7.721411256
717	7.721340155
718	7.720841312
719	7.720627726
720	7.719935654
721	7.718508905
722	7.71791855
723	7.716515939
724	7.716298426
725	7.715808605
726	7.715241461
727	7.713749063
728	7.712999914
729	7.710882678
730	7.709770182
731	7.709341828
732	7.708491015
733	7.708424486
734	7.708346362
735	7.707445869
736	7.705111115
737	7.703920562
738	7.703228024
739	7.702497239
740	7.701874348
741	7.701330328
742	7.699502344
743	7.698222859
744	7.697152311
745	7.696912934
746	7.696102198
747	7.69492182
748	7.693102182
749	7.692962924
750	7.692116795
751	7.69204205
752	7.691473863
753	7.690556249
754	7.689837735
755	7.689454672
756	7.689071141
757	7.687465488
758	7.686810187
759	7.686470697
760	7.68624492
761	7.68513018
762	7.683794043
763	7.683199221
764	7.682839635
765	7.681507886
766	7.679915081
767	7.679846313
768	7.679201584
769	7.678982728
770	7.678923593
771	7.677492652
772	7.677010313
773	7.675265054
774	7.674173668
775	7.673514144
776	7.673039284
777	7.671169365
778	7.669523818
779	7.668301297
780	7.667387154
781	7.666355651
782	7.665705583
783	7.66360878
784	7.663548234
785	7.662393689
786	7.66235597
787	7.662203923
788	7.661622814
789	7.661424009
790	7.659393929
791	7.658372669
792	7.657466929
793	7.655841361
794	7.654742426
795	7.654604901
796	7.654570112
797	7.65307025
798	7.653017844
799	7.651825483
800	7.651323197
801	7.650689722
802	7.648971856
803	7.647343002
804	7.645607118
805	7.644526961
806	7.643934775
807	7.642505123
808	7.641514506
809	7.640781308
810	7.640653568
811	7.63951202
812	7.639405333
813	7.638929426
814	7.637356094
815	7.636154036
816	7.635566136
817	7.633674669
818	7.633643964
819	7.632711394
820	7.632055247
821	7.631780262
822	7.631479824
823	7.630397485
824	7.629782592
825	7.628506122
826	7.626906128
827	7.626694083
828	7.625614541
829	7.625345497
830	7.623337066
831	7.62314021
832	7.622531912
833	7.622140218
834	7.621328093
835	7.621206109
836	7.620117637
837	7.619117565
838	7.618560879
839	7.617349336
840	7.617097662
841	7.616458202
842	7.615018317
843	7.614481443
844	7.61357429
845	7.613089994
846	7.612504995
847	7.612073781
848	7.610373073
849	7.609679723
850	7.607584015
851	7.606641392
852	7.605906766
853	7.604843982
854	7.604549198
855	7.603617316
856	7.602223718
857	7.601876386
858	7.601175837
859	7.600010782
860	7.599734978
861	7.598639702
862	7.597564395
863	7.59654407
864	7.596504053
865	7.596185364
866	7.595278769
867	7.594435515
868	7.593262223
869	7.592865128
870	7.592387953
871	7.591846122
872	7.590642075
873	7.590412168
874	7.589456062
875	7.588108368
876	7.587426581
877	7.586781321
878	7.586002358
879	7.585374022
880	7.584827812
881	7.584379654
882	7.584059757
883	7.583724417
884	7.583126106
885	7.582579313
886	7.581787927
887	7.581280381
888	7.580858318
889	7.580368257
890	7.579587502
891	7.577669075
892	7.577050418
893	7.576674571
894	7.576438841
895	7.575250583
896	7.574411789
897	7.573833456
898	7.573376779
899	7.572912209
900	7.572005537
901	7.570610012
902	7.570519579
903	7.570139087
904	7.568575128
905	7.566678267
906	7.565514887
907	7.565233681
908	7.563873075
909	7.562717091
910	7.562255438
911	7.561948754
912	7.561737544
913	7.56144272
914	7.561168495
915	7.560306376
916	7.559801111
917	7.558401951
918	7.557322882
919	7.557235643
920	7.556158687
921	7.555934925
922	7.554530564
923	7.554323856
924	7.55389324
925	7.552804118
926	7.552303313
927	7.551907276
928	7.551480079
929	7.551122864
930	7.550787396
931	7.549708401
932	7.549098226
933	7.548725784
934	7.548696874
935	7.548322208
936	7.548037277
937	7.546799398
938	7.546180344
939	7.545241013
940	7.544688913
941	7.543547321
942	7.543286086
943	7.542228492
944	7.541756588
945	7.540747769
946	7.540408419
947	7.539641949
948	7.539109224
949	7.538660075
950	7.537227633
951	7.53586625
952	7.535103157
953	7.534850211
954	7.534279236
955	7.533713281
956	7.533060136
957	7.532223878
958	7.531913436
959	7.530893369
960	7.530026447
961	7.529265365
962	7.528566192
963	7.527269132
964	7.526923799
965	7.526862496
966	7.52684166
967	7.525465889
968	7.52525027
969	7.524555225
970	7.524317223
971	7.52358718
972	7.522927035
973	7.522157802
974	7.521450409
975	7.521187258
976	7.519947475
977	7.519928645
978	7.519664716
979	7.518810041
980	7.517687669
981	7.516233146
982	7.515996605
983	7.51521557
984	7.514910565
985	7.514469424
986	7.514108117
987	7.513626491
988	7.513266819
989	7.512783256
990	7.511786258
991	7.511544683
992	7.510216629
993	7.509802449
994	7.509111784
995	7.508773696
996	7.508290475
997	7.507745584
998	7.506747041
999	7.505656794
