iter	Passed	Remaining
0	157	157612
1	175	87749
2	194	64524
3	216	53869
4	232	46226
5	255	42395
6	278	39519
7	302	37519
8	326	35903
9	353	35012
10	376	33873
11	397	32758
12	419	31876
13	442	31184
14	463	30457
15	486	29931
16	510	29502
17	518	28304
18	539	27833
19	561	27512
20	584	27268
21	611	27189
22	637	27076
23	659	26806
24	686	26768
25	701	26275
26	723	26063
27	745	25876
28	773	25902
29	795	25718
30	818	25581
31	837	25325
32	862	25266
33	885	25151
34	910	25099
35	934	25027
36	955	24878
37	977	24740
38	1002	24699
39	1027	24659
40	1055	24682
41	1084	24734
42	1113	24782
43	1141	24803
44	1170	24841
45	1198	24865
46	1227	24886
47	1255	24903
48	1286	24964
49	1315	24986
50	1340	24948
51	1367	24929
52	1391	24871
53	1417	24832
54	1437	24704
55	1463	24675
56	1491	24670
57	1516	24622
58	1537	24518
59	1568	24572
60	1598	24611
61	1625	24592
62	1650	24552
63	1679	24558
64	1704	24517
65	1730	24487
66	1755	24439
67	1779	24395
68	1803	24337
69	1830	24323
70	1855	24280
71	1881	24250
72	1907	24221
73	1932	24180
74	1960	24182
75	1990	24197
76	2017	24178
77	2040	24118
78	2062	24049
79	2086	23996
80	2109	23937
81	2132	23875
82	2154	23805
83	2180	23773
84	2202	23705
85	2227	23672
86	2250	23615
87	2273	23566
88	2296	23511
89	2320	23465
90	2346	23440
91	2373	23429
92	2396	23373
93	2420	23334
94	2442	23267
95	2456	23133
96	2479	23082
97	2505	23061
98	2530	23029
99	2553	22982
100	2579	22956
101	2600	22897
102	2621	22831
103	2642	22769
104	2666	22725
105	2689	22683
106	2712	22637
107	2739	22625
108	2767	22626
109	2792	22591
110	2817	22564
111	2839	22511
112	2860	22450
113	2881	22391
114	2911	22404
115	2934	22359
116	2956	22314
117	2976	22251
118	3001	22223
119	3025	22186
120	3048	22144
121	3074	22128
122	3099	22098
123	3121	22050
124	3143	22007
125	3166	21964
126	3192	21948
127	3216	21913
128	3237	21860
129	3260	21821
130	3284	21791
131	3306	21743
132	3330	21711
133	3353	21673
134	3376	21634
135	3399	21597
136	3422	21560
137	3444	21513
138	3467	21480
139	3489	21437
140	3514	21410
141	3536	21367
142	3563	21358
143	3591	21347
144	3614	21312
145	3636	21270
146	3659	21232
147	3681	21192
148	3731	21312
149	3767	21348
150	3797	21349
151	3821	21318
152	3843	21279
153	3864	21229
154	3886	21189
155	3909	21149
156	3932	21117
157	3955	21077
158	3979	21051
159	4005	21027
160	4032	21013
161	4055	20977
162	4081	20958
163	4103	20919
164	4127	20886
165	4150	20850
166	4172	20814
167	4196	20784
168	4222	20761
169	4244	20724
170	4271	20706
171	4294	20673
172	4316	20633
173	4341	20608
174	4364	20575
175	4387	20539
176	4417	20537
177	4440	20506
178	4463	20474
179	4486	20440
180	4511	20413
181	4533	20377
182	4555	20340
183	4582	20322
184	4606	20295
185	4627	20251
186	4649	20214
187	4674	20188
188	4698	20160
189	4721	20130
190	4747	20107
191	4792	20167
192	4816	20141
193	4840	20109
194	4865	20085
195	4890	20060
196	4920	20057
197	4946	20034
198	4973	20017
199	5016	20065
200	5043	20046
201	5067	20018
202	5092	19992
203	5116	19964
204	5142	19941
205	5166	19913
206	5192	19892
207	5220	19877
208	5248	19862
209	5273	19838
210	5298	19813
211	5322	19784
212	5348	19760
213	5374	19738
214	5399	19713
215	5424	19688
216	5452	19673
217	5474	19636
218	5496	19602
219	5518	19564
220	5540	19529
221	5560	19487
222	5582	19450
223	5603	19410
224	5627	19384
225	5652	19357
226	5673	19320
227	5697	19291
228	5722	19266
229	5744	19232
230	5767	19199
231	5789	19165
232	5810	19125
233	5830	19084
234	5851	19049
235	5873	19015
236	5896	18983
237	5917	18946
238	5938	18907
239	5959	18873
240	5983	18845
241	6006	18812
242	6028	18780
243	6053	18754
244	6074	18720
245	6096	18684
246	6118	18652
247	6140	18620
248	6162	18585
249	6182	18547
250	6203	18510
251	6228	18486
252	6250	18454
253	6270	18416
254	6291	18380
255	6313	18349
256	6335	18315
257	6357	18283
258	6380	18254
259	6402	18223
260	6427	18198
261	6448	18164
262	6480	18160
263	6504	18132
264	6526	18103
265	6548	18068
266	6568	18031
267	6587	17993
268	6609	17959
269	6629	17925
270	6648	17883
271	6668	17848
272	6689	17815
273	6712	17784
274	6733	17752
275	6758	17728
276	6779	17695
277	6801	17663
278	6823	17633
279	6844	17600
