iter	Passed	Remaining
0	368	368261
1	641	320235
2	905	300888
3	1289	321091
4	1592	316826
5	1853	307011
6	2149	304871
7	2423	300458
8	2667	293750
9	2911	288203
10	3144	282727
11	3372	277650
12	3639	276346
13	3858	271748
14	4121	270633
15	4361	268253
16	4579	264826
17	4807	262299
18	5031	259774
19	5268	258140
20	5514	257087
21	5730	254728
22	5990	254467
23	6209	252510
24	6440	251161
25	6660	249498
26	6875	247785
27	7107	246714
28	7352	246194
29	7605	245903
30	7838	245013
31	8065	243983
32	8283	242740
33	8542	242713
34	8775	241952
35	9003	241086
36	9217	239914
37	9447	239169
38	9677	238454
39	9903	237673
40	10127	236876
41	10372	236580
42	10579	235463
43	10802	234713
44	11022	233913
45	11240	233126
46	11455	232277
47	11696	231984
48	11958	232084
49	12208	231956
50	12431	231315
51	12693	231405
52	12929	231021
53	13146	230312
54	13397	230197
55	13634	229834
56	13856	229243
57	14083	228730
58	14298	228055
59	14517	227443
60	14753	227106
61	14976	226577
62	15199	226055
63	15421	225545
64	15639	224967
65	15894	224934
66	16145	224826
67	16386	224593
68	16606	224073
69	16828	223578
70	17071	223369
71	17297	222948
72	17522	222513
73	17735	221938
74	17969	221621
75	18156	220743
76	18372	220233
77	18600	219865
78	18830	219528
79	19027	218812
80	19242	218322
81	19458	217841
82	19684	217481
83	19890	216903
84	20084	216200
85	20303	215783
86	20497	215110
87	20690	214428
88	21036	215329
89	21261	214979
90	21453	214302
91	21670	213874
92	21921	213796
93	22152	213515
94	22382	213221
95	22601	212834
96	22827	212508
97	23055	212208
98	23243	211538
99	23492	211433
100	23705	211002
101	23971	211045
102	24218	210912
103	24505	211126
104	24772	211158
105	25024	211052
106	25272	210915
107	25490	210533
108	25734	210365
109	25978	210191
110	26213	209941
111	26427	209533
112	26640	209119
113	26844	208635
114	27055	208207
115	27293	207995
116	27532	207788
117	27786	207689
118	28032	207538
119	28276	207362
120	28477	206875
121	28638	206103
122	28815	205453
123	29075	205401
124	29337	205362
125	29553	204999
126	29723	204322
127	29971	204179
128	30222	204060
129	30475	203954
130	30619	203117
131	30864	202955
132	31187	203306
133	31408	202986
134	31591	202418
135	31861	202415
136	32084	202105
137	32335	201982
138	32561	201696
139	32774	201326
140	33074	201493
141	33277	201068
142	33545	201036
143	33861	201289
144	34094	201040
145	34326	200786
146	34582	200675
147	34807	200375
148	35106	200508
149	35337	200246
150	35558	199925
151	35800	199727
152	36076	199719
153	36336	199612
154	36514	199064
155	36751	198832
156	36977	198546
157	37153	197995
158	37356	197588
159	37595	197377
160	37858	197288
161	38128	197230
162	38358	196969
163	38582	196675
164	38841	196560
165	39059	196240
166	39313	196095
167	39564	195936
168	39784	195626
169	39883	194727
170	40152	194657
171	40391	194441
172	40565	193914
173	40843	193887
174	41055	193546
175	41262	193184
176	41516	193041
177	41740	192755
178	41935	192339
179	42217	192325
180	42502	192317
181	42861	192640
182	43178	192768
183	43477	192813
184	43780	192872
185	44102	193009
186	44433	193177
187	44769	193367
188	45003	193108
189	45232	192834
190	45429	192421
191	45648	192104
192	45883	191855
193	46150	191740
194	46407	191580
195	46680	191483
196	46943	191350
197	47208	191218
198	47463	191046
199	47683	190733
200	47887	190357
201	48159	190253
202	48427	190132
203	48706	190050
204	48963	189884
205	49179	189557
206	49415	189304
207	49652	189061
208	49916	188917
209	50164	188713
210	50426	188561
211	50664	188319
212	50903	188079
213	51152	187877
214	51406	187692
215	51663	187518
216	51942	187424
217	52048	186707
218	52308	186542
219	52596	186478
220	52820	186187
221	52938	185521
222	53225	185452
223	53452	185175
224	53677	184887
225	53854	184438
226	54099	184224
227	54335	183978
228	54531	183596
229	54730	183229
230	55036	183218
231	55255	182916
232	55481	182637
233	55681	182274
234	55907	181996
235	56158	181800
236	56421	181644
237	56654	181388
238	56962	181374
239	57206	181152
240	57403	180785
241	57595	180401
242	57817	180114
243	58012	179745
244	58192	179327
245	58392	178975
246	58631	178742
247	58883	178548
248	59099	178247
249	59316	177950
250	59562	177737
251	59835	177608
252	60113	177487
253	60361	177280
254	60623	177116
255	60809	176729
256	61058	176523
257	61343	176421
258	61611	176271
259	61912	176212
260	62137	175936
261	62380	175713
262	62619	175478
263	62841	175194
264	63081	174961
265	63305	174684
266	63533	174418
267	63784	174217
268	63952	173790
269	64180	173525
270	64293	172952
271	64535	172727
272	64742	172408
273	64964	172132
274	65227	171962
275	65467	171732
276	65713	171520
277	65962	171311
278	66203	171084
279	66344	170600
280	66589	170384
281	66787	170047
282	67066	169916
283	67302	169678
284	67542	169447
285	67816	169305
286	68099	169181
287	68290	168830
288	68554	168659
289	68904	168697
290	69218	168646
291	69530	168588
292	69805	168438
293	70031	168170
