timestamp_utc,NO2,NO2_lag_1,NO2_lag_24,NO2_lag_168
2021-01-08 00:00:00+00:00,47.38,49.31,40.9,24.35
2021-01-08 01:00:00+00:00,45.78,47.38,39.19,23.98
2021-01-08 02:00:00+00:00,44.51,45.78,39.78,23.72
2021-01-08 03:00:00+00:00,45.69,44.51,41.28,23.73
2021-01-08 04:00:00+00:00,50.33,45.69,45.54,24.06
2021-01-08 05:00:00+00:00,59.64,50.33,52.86,24.44
2021-01-08 06:00:00+00:00,77.38,59.64,67.8,24.93
2021-01-08 07:00:00+00:00,103.54,77.38,84.43,24.9
2021-01-08 08:00:00+00:00,107.8,103.54,83.86,25.07
2021-01-08 09:00:00+00:00,107.32,107.8,82.44,25.63
2021-01-08 10:00:00+00:00,104.26,107.32,85.99,25.92
2021-01-08 11:00:00+00:00,99.91,104.26,84.71,26.13
2021-01-08 12:00:00+00:00,95.27,99.91,82.29,26.57
2021-01-08 13:00:00+00:00,92.72,95.27,78.62,27.3
2021-01-08 14:00:00+00:00,95.42,92.72,81.57,28.61
2021-01-08 15:00:00+00:00,95.0,95.42,89.68,29.35
2021-01-08 16:00:00+00:00,110.0,95.0,99.91,29.3
2021-01-08 17:00:00+00:00,99.95,110.0,84.62,28.82
2021-01-08 18:00:00+00:00,80.12,99.95,77.79,28.25
2021-01-08 19:00:00+00:00,61.48,80.12,64.73,27.32
2021-01-08 20:00:00+00:00,59.43,61.48,58.35,26.98
2021-01-08 21:00:00+00:00,56.22,59.43,57.84,26.44
2021-01-08 22:00:00+00:00,50.48,56.22,50.63,25.64
2021-01-08 23:00:00+00:00,47.58,50.48,49.31,25.59
2021-01-09 00:00:00+00:00,47.04,47.58,47.38,24.91
2021-01-09 01:00:00+00:00,46.48,47.04,45.78,24.74
2021-01-09 02:00:00+00:00,47.67,46.48,44.51,24.66
2021-01-09 03:00:00+00:00,48.04,47.67,45.69,24.72
2021-01-09 04:00:00+00:00,47.77,48.04,50.33,24.92
2021-01-09 05:00:00+00:00,48.26,47.77,59.64,25.62
