station_id,name,river,lat,lon,source
100.1.0,Valldøla v/Alstad,Valldøla,62.32937,7.4842,HYDAPI
100.8.0,Langvatn,Valldøla,62.37322,7.84637,HYDAPI
101.3.0,Mauseidvatn,Mauseidelva,62.41692,6.26568,HYDAPI
103.1.0,Ulvåa v/Storhølen,Ulvåa,62.28008,8.11848,HYDAPI
103.10.0,Mongevatn,Mongebekken,62.44631,7.892,HYDAPI
103.11.0,Søre Bøvri ndf. Bøvertjørnene,Bøvri,62.29334,8.23946,HYDAPI
103.12.0,Verma kraftstasjon,Rauma,62.34783,8.05015,HYDAPI
103.13.0,Vermavatn,Verma,62.35942,7.86043,HYDAPI
103.16.0,Krossan,Grøna,62.22466,8.32524,HYDAPI
103.17.0,Øvre kilde v/Alnes i Rauma,Rauma,62.44814,7.82291,HYDAPI
103.18.0,Nedre kilde v/Alnes i Rauma,Rauma,62.45302,7.81781,HYDAPI
103.2.0,Lesjaskogvatn,Rauma,62.22756,8.36846,HYDAPI
103.21.0,Krossan,Grøna,62.22197,8.32626,HYDAPI
103.23.0,Grøttavatn,Glutra,62.47758,7.99172,HYDAPI
103.3.0,Rauma v/Stuguflåten,Rauma,62.2766,8.15311,HYDAPI
103.4.0,Horgheim,Rauma,62.47412,7.78235,HYDAPI
103.40.0,Rauma v/Horgheim,Rauma,62.47378,7.78184,HYDAPI
103.42.0,Rauma ovf. Grytten kraftstasjon,Rauma,62.49776,7.76489,HYDAPI
103.44.0,Rauma v/Remmem,Rauma,62.43488,7.86579,HYDAPI
103.45.0,Grytten kraftstasjon,Rauma,62.49688,7.76687,HYDAPI
103.46.0,Rauma ndf. Lesjaskogvatnet,Rauma,62.23429,8.32228,HYDAPI
103.47.0,Rauma v/Stuguflåten,Rauma,62.28288,8.13844,HYDAPI
103.48.0,Rauma v/Raudstøl bru,Rauma,62.31002,8.10102,HYDAPI
103.49.0,Rauma v/Hersel bru,Rauma,62.36594,8.03992,HYDAPI
103.5.0,Verma,Verma,62.3484,8.00378,HYDAPI
103.50.0,Rauma v/Horgheim bru,Rauma,62.46928,7.7937,HYDAPI
103.51.1,Flatmark rør 1,Rauma,62.43032,7.96567,HYDAPI
